"Card ID","Title","Phase","Track","Status","Priority","Size","Depends On","Labels","Description","Definition of Done","Commit Message Template"
"YW-021","Implement keyset people list endpoint","C","BE","Todo","P0","L","YW-019|YW-007","phase:C;track:backend;area:pagination","Implement cursor-based people listing with limit, next cursor, and hasMore.","Endpoint returns stable keyset pages with deterministic order and cursor continuity.","feat(api): implement people keyset list [YW-021]"
"YW-022","Implement people CRUD operations","C","BE","Todo","P0","M","YW-018|YW-007","phase:C;track:backend;area:people","Implement create, update, delete operations with validation.","CRUD behavior matches contract and handles invalid payloads cleanly.","feat(api): add people crud operations [YW-022]"
"YW-023","Implement list query contract (sort + search + filter)","C","BE","Todo","P0","M","YW-021","phase:C;track:backend;area:list-query","Implement sort, search, and filter params including age-to-birthdate mapping and multi-sort chain.","List endpoint supports name asc/desc and pin->name->birthdate ordering with filters.","feat(api): implement list sort search filter contract [YW-023]"
"YW-024","Implement Vue overlay and feedback components","D","FE","Todo","P0","M","YW-009","phase:D;track:frontend;area:components","Create reusable UiDropdown, UiMenu, UiModal, UiBottomSheet, UiToast, and UiLoadingIndicator components.","Overlay/feedback components are reused by sort dropdown, delete modal, pin sheet, and error toasts.","feat(client): add overlay and feedback components [YW-024]"
"YW-025","Create pin_rules schema (per-user)","D","BE/DB","Todo","P0","M","YW-018","phase:D;track:backend;area:pin","Add pin_rules schema including rule_type, rule_value, target_index, enabled, rule_priority, resolved_person_id, timestamps.","Migration creates pin_rules with per-user scope and required constraints.","feat(db): add pin rules schema [YW-025]"
"YW-026","Implement pin rule operations with freeze binding","D","BE","Todo","P0","L","YW-025|YW-007","phase:D;track:backend;area:pin","Implement pin rule CRUD + enable/disable, name input resolve-to-person_id freeze binding, and validation.","Single-match name resolves and persists person_id; multi/zero match returns validation error; enable/disable is supported.","feat(api): implement pin rules with freeze binding [YW-026]"
"YW-027","Implement effective index algorithm (shift/clamp)","D","BE","Todo","P0","M","YW-026","phase:D;track:backend;area:pin;algo","Implement deterministic placement by rule_priority ASC with collision shift and clamp policy.","API exposes target_index, effective_index, and state with cascade-depth policy as spec'd.","feat(api): add pin effective index algorithm [YW-027]"
"YW-028","Integrate pin injection into people list pipeline","D","BE","Todo","P0","L","YW-021|YW-023|YW-026|YW-027","phase:D;track:backend;area:pin;pagination","Inject pin results into list output while preserving current search/filter/sort/cursor semantics.","Pinned output respects query context and cursor continuity across pages.","feat(api): merge pin rules into list pipeline [YW-028]"
"YW-029","Build pin management UI (desktop + mobile)","D","FE","Todo","P1","L","YW-028|YW-010|YW-024","phase:D;track:frontend;area:pin;design:fig","Implement pin panel/sheet for desktop and mobile including add rule form and row actions.","Desktop and mobile pin UIs are complete; kebab action supports enable/disable; mobile uses single-column form and sticky CTA.","feat(client): implement pin management ui desktop mobile [YW-029]"
"YW-030","Implement pin state and error UX","D","FE","Todo","P1","M","YW-029","phase:D;track:frontend;area:pin;ux","Implement inline error, helper notes, and state badges for active/inactive/clamped/no_match.","Users can understand target vs effective position and conflict outcomes from UI messaging.","feat(client): add pin state and error ux [YW-030]"
"YW-031","Implement Vue list primitives","E","FE","Todo","P0","M","YW-009","phase:E;track:frontend;area:components","Create reusable list primitives: UiToolbar, UiTable, UiCardRow, UiStatusBadge, UiInfiniteFooter.","List primitives support desktop table and mobile card patterns and are reused in people views.","feat(client): add list primitives for people views [YW-031]"
"YW-032","Implement responsive app shell (1440/1024/600/375)","E","FE","Todo","P0","L","YW-009","phase:E;track:frontend;area:layout;design:fig","Build full app shell and layout alignment for four breakpoints from fig.","All four breakpoints are implemented with consistent spacing and navigation behavior.","feat(client): implement responsive app shell 4 breakpoints [YW-032]"
"YW-033","Implement people list rendering and row actions","E","FE","Todo","P0","M","YW-032|YW-021|YW-031","phase:E;track:frontend;area:list;design:fig","Render desktop table and mobile cards with edit/delete/pin related action affordances.","List UI maps API data correctly on desktop and mobile with working row actions.","feat(client): implement people list rendering [YW-033]"
"YW-034","Implement add/edit person forms","E","FE","Todo","P0","M","YW-022|YW-010","phase:E;track:frontend;area:form;design:fig","Implement add and edit forms for desktop/mobile with validations.","Users can create and edit person records with proper error and loading handling.","feat(client): implement add edit person forms [YW-034]"
"YW-035","Implement search/sort/open/empty states","E","FE","Todo","P0","M","YW-033|YW-023|YW-024","phase:E;track:frontend;area:search-sort;design:fig","Implement interactive states for search results, empty state, and sort dropdown.","Frames 2.0, 2.1, 2.2 behavior is implemented and state transitions are correct.","feat(client): implement search sort states [YW-035]"
"YW-036","Implement delete confirmation UI (desktop/mobile)","E","FE","Todo","P1","S","YW-033|YW-024","phase:E;track:frontend;area:delete;design:fig","Implement delete modal/sheet interactions for desktop and mobile.","Delete confirmation UX is consistent with accessibility targets and final design.","feat(client): implement delete confirmation ui [YW-036]"
"YW-037","Implement baseline infinite scroll UX","E","FE","Todo","P0","M","YW-021|YW-033","phase:E;track:frontend;area:infinite-scroll;design:fig","Implement base cursor-driven load behavior (trigger, loading, end-of-list, retry).","Frame 2.4 behavior is fully implemented before performance optimization stage.","feat(client): implement baseline infinite scroll ux [YW-037]"
"YW-038","Apply visual QA polish from fig review","E","FE/QA","Todo","P1","M","YW-036|YW-030","phase:E;track:frontend;area:polish;design:fig","Apply spacing/alignment/hit-area/overlap corrections identified in design QA.","No blocking visual QA issues remain in core states and breakpoints.","fix(ui): apply visual qa polish [YW-038]"
"YW-039","Choose 50k concurrency optimization plan","F","BE","Todo","P0","M","YW-023","phase:F;track:backend;area:scale","Evaluate short-term optimization options and lock the execution path for 1-2 day window.","Decision doc records options, tradeoffs, and selected implementation.","docs(scale): choose 50k optimization plan [YW-039]"
"YW-040","Optimize infinite scroll memory usage","F","FE","Todo","P0","M","YW-037","phase:F;track:frontend;area:perf","Apply list windowing/pruning strategy to reduce device RAM usage during long sessions.","Memory profile demonstrates bounded growth under long scroll scenarios.","perf(client): optimize infinite scroll memory [YW-040]"
"YW-041","Tune database and query performance","F","BE","Todo","P0","M","YW-039","phase:F;track:backend;area:perf","Tune SQL/index/query plans for hot endpoints based on measured bottlenecks.","P95 latency improves against baseline for core list and pin operations.","perf(api): tune database and query performance [YW-041]"
"YW-042","Optional Redis cache POC","F","BE/OPS","Todo","P2","M","YW-041","phase:F;track:backend;area:cache","Prototype selective cache strategy for hot reads with clear invalidation policy.","POC includes measured impact, risk notes, and go/no-go recommendation.","feat(cache): add redis cache poc [YW-042]"
"YW-043","Harden reliability and error recovery","F","BE/FE","Todo","P1","M","YW-041","phase:F;track:fullstack;area:reliability","Implement timeout handling, retry/backoff strategy, and 429/5xx UX consistency.","Error handling is deterministic across API and UI with verified recovery paths.","feat(reliability): harden timeout retry and error ux [YW-043]"
"YW-044","Finalize release checklist and runbook","F","QA/OPS","Todo","P1","S","YW-043","phase:F;track:ops;area:release","Prepare release checklist, rollback plan, and validation runbook for handoff.","Go-live checklist is complete and reproducible for final delivery.","docs(release): finalize runbook and release checklist [YW-044]"
